encoder,held_out_slide,n_train,n_heldout,pearson_r,pearson_r_hallmark,r2,r2_median,r2_hallmark,r2_hallmark_median
conch,TENX111,2250,750,0.295624623046023,0.43246105528757683,-109.55191462638231,-0.5455862401283815,-8.999015976861141,-0.11192703585957708
conch,TENX147,2250,750,0.42285116136104156,0.44636006271431405,-0.9789082329903553,0.02567997465526861,-1.206200166872641,0.026199162377447904
conch,TENX148,2250,750,0.41678353819419933,0.45720636601498327,-0.8727830558830428,-0.021885765323786277,-1.8110244589902844,-0.041441484882528634
conch,TENX149,2250,750,0.47139720285405234,0.4997248806716329,-0.4383114972851855,0.11904393242597511,-0.6897579214793979,0.11347649430732054
