encoder,organ,perturbation,program,gpfr,mean_ssim,mean_lpips,n_samples_pooled,n_train,n_heldout,ridge_alpha_selected,ridge_alpha_min,ridge_alpha_max,heldout_mean_pearson_r,heldout_mean_pearson_r_hallmark_genes,heldout_mean_r2,heldout_mean_r2_hallmark_genes
uni,COAD,brightness,immune_activation,0.01,0.875791823665301,0.10365971936740809,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,brightness,proliferation,0.0077777777777777776,0.875791823665301,0.10365971936740809,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,brightness,hypoxia,0.11444444444444445,0.875791823665301,0.10365971936740809,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,brightness,stromal_ecm,0.005555555555555556,0.875791823665301,0.10365971936740809,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,brightness,angiogenesis,0.052222222222222225,0.875791823665301,0.10365971936740809,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,contrast,immune_activation,0.0077777777777777776,0.8949472173055013,0.0681010871173607,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,contrast,proliferation,0.006666666666666667,0.8949472173055013,0.0681010871173607,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,contrast,hypoxia,0.07666666666666666,0.8949472173055013,0.0681010871173607,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,contrast,stromal_ecm,0.01,0.8949472173055013,0.0681010871173607,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,contrast,angiogenesis,0.03333333333333333,0.8949472173055013,0.0681010871173607,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,gamma,immune_activation,0.014444444444444444,0.8953657514519162,0.06196729250252247,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,gamma,proliferation,0.022222222222222223,0.8953657514519162,0.06196729250252247,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
uni,COAD,gamma,hypoxia,0.05444444444444444,0.8953657514519162,0.06196729250252247,4,2100,900,1000.0,316.22776601683796,10000.0,0.649252917128586,0.741684791500906,0.45929717253969676,0.5621879793870583
