encoder,organ,perturbation,program,gpfr_z0.5,gpfr_z0.75,gpfr_z1.0,gpfr_z1.5,gpfr_z2.0
conch,IDC,blur,angiogenesis,0.3977777777777778,0.23222222222222222,0.11666666666666667,0.04888888888888889,0.016666666666666666
conch,IDC,blur,hypoxia,0.39222222222222225,0.22444444444444445,0.12111111111111111,0.023333333333333334,0.0033333333333333335
conch,IDC,blur,immune_activation,0.13555555555555557,0.04,0.01,0.0011111111111111111,0.0
conch,IDC,blur,proliferation,0.2644444444444444,0.14,0.08222222222222222,0.021111111111111112,0.0033333333333333335
conch,IDC,blur,stromal_ecm,0.2011111111111111,0.07333333333333333,0.03777777777777778,0.012222222222222223,0.0022222222222222222
conch,IDC,brightness,angiogenesis,0.29444444444444445,0.14444444444444443,0.07444444444444444,0.021111111111111112,0.0033333333333333335
conch,IDC,brightness,hypoxia,0.49777777777777776,0.30666666666666664,0.18333333333333332,0.06444444444444444,0.028888888888888888
conch,IDC,brightness,immune_activation,0.22666666666666666,0.09222222222222222,0.03777777777777778,0.0011111111111111111,0.0
conch,IDC,brightness,proliferation,0.18666666666666668,0.11555555555555555,0.052222222222222225,0.008888888888888889,0.0011111111111111111
conch,IDC,brightness,stromal_ecm,0.16333333333333333,0.06777777777777778,0.03222222222222222,0.011111111111111112,0.0022222222222222222
conch,IDC,contrast,angiogenesis,0.2822222222222222,0.15666666666666668,0.11222222222222222,0.04666666666666667,0.022222222222222223
conch,IDC,contrast,hypoxia,0.4577777777777778,0.28888888888888886,0.15777777777777777,0.051111111111111114,0.021111111111111112
conch,IDC,contrast,immune_activation,0.14777777777777779,0.06888888888888889,0.017777777777777778,0.0011111111111111111,0.0
conch,IDC,contrast,proliferation,0.14888888888888888,0.07444444444444444,0.025555555555555557,0.005555555555555556,0.0
conch,IDC,contrast,stromal_ecm,0.16111111111111112,0.058888888888888886,0.024444444444444446,0.0033333333333333335,0.0
conch,IDC,gamma,angiogenesis,0.23,0.12666666666666668,0.08333333333333333,0.02,0.006666666666666667
conch,IDC,gamma,hypoxia,0.22444444444444445,0.11222222222222222,0.056666666666666664,0.0044444444444444444,0.0011111111111111111
conch,IDC,gamma,immune_activation,0.05444444444444444,0.006666666666666667,0.0033333333333333335,0.0,0.0
conch,IDC,gamma,proliferation,0.12,0.04888888888888889,0.022222222222222223,0.005555555555555556,0.0011111111111111111
conch,IDC,gamma,stromal_ecm,0.10888888888888888,0.034444444444444444,0.011111111111111112,0.0,0.0
conch,IDC,jpeg,angiogenesis,0.2822222222222222,0.1288888888888889,0.07333333333333333,0.02666666666666667,0.0011111111111111111
conch,IDC,jpeg,hypoxia,0.44666666666666666,0.2911111111111111,0.19,0.06666666666666667,0.021111111111111112
conch,IDC,jpeg,immune_activation,0.15555555555555556,0.04777777777777778,0.012222222222222223,0.0,0.0
conch,IDC,jpeg,proliferation,0.3022222222222222,0.15222222222222223,0.07555555555555556,0.012222222222222223,0.0044444444444444444
conch,IDC,jpeg,stromal_ecm,0.43666666666666665,0.24888888888888888,0.12777777777777777,0.028888888888888888,0.01
conch,IDC,scanner_color,angiogenesis,0.4255555555555556,0.25555555555555554,0.15666666666666668,0.06555555555555556,0.021111111111111112
conch,IDC,scanner_color,hypoxia,0.7277777777777777,0.5322222222222223,0.39,0.18444444444444444,0.0811111111111111
conch,IDC,scanner_color,immune_activation,0.43555555555555553,0.3111111111111111,0.2011111111111111,0.04111111111111111,0.0011111111111111111
conch,IDC,scanner_color,proliferation,0.30777777777777776,0.1622222222222222,0.09,0.024444444444444446,0.0033333333333333335
conch,IDC,scanner_color,stromal_ecm,0.2866666666666667,0.15777777777777777,0.09444444444444444,0.028888888888888888,0.011111111111111112
conch,IDC,stain_shift,angiogenesis,0.24666666666666667,0.12444444444444444,0.057777777777777775,0.014444444444444444,0.0044444444444444444
conch,IDC,stain_shift,hypoxia,0.4411111111111111,0.25666666666666665,0.16,0.03666666666666667,0.005555555555555556
conch,IDC,stain_shift,immune_activation,0.14222222222222222,0.04111111111111111,0.0077777777777777776,0.0011111111111111111,0.0
conch,IDC,stain_shift,proliferation,0.31777777777777777,0.16555555555555557,0.09444444444444444,0.028888888888888888,0.0033333333333333335
conch,IDC,stain_shift,stromal_ecm,0.2588888888888889,0.09888888888888889,0.042222222222222223,0.0044444444444444444,0.0011111111111111111
