encoder,organ,perturbation,program,gpfr,mean_ssim,mean_lpips,n_samples_pooled,n_train,n_heldout,ridge_alpha_selected,ridge_alpha_min,ridge_alpha_max,heldout_mean_pearson_r,heldout_mean_pearson_r_hallmark_genes,heldout_mean_r2,heldout_mean_r2_hallmark_genes
conch,IDC,brightness,immune_activation,0.017777777777777778,0.8850457180870904,0.07379216368413634,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,brightness,proliferation,0.04777777777777778,0.8850457180870904,0.07379216368413634,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,brightness,hypoxia,0.13555555555555557,0.8850457180870904,0.07379216368413634,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,brightness,stromal_ecm,0.09555555555555556,0.8850457180870904,0.07379216368413634,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,brightness,angiogenesis,0.06666666666666667,0.8850457180870904,0.07379216368413634,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,contrast,immune_activation,0.005555555555555556,0.8831575186385049,0.06847578469249938,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,contrast,proliferation,0.035555555555555556,0.8831575186385049,0.06847578469249938,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,contrast,hypoxia,0.10222222222222223,0.8831575186385049,0.06847578469249938,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,contrast,stromal_ecm,0.08888888888888889,0.8831575186385049,0.06847578469249938,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,contrast,angiogenesis,0.06666666666666667,0.8831575186385049,0.06847578469249938,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,gamma,immune_activation,0.0022222222222222222,0.887346071600914,0.08183228748540083,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,gamma,proliferation,0.09777777777777778,0.887346071600914,0.08183228748540083,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,gamma,hypoxia,0.03333333333333333,0.887346071600914,0.08183228748540083,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,gamma,stromal_ecm,0.0033333333333333335,0.887346071600914,0.08183228748540083,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,gamma,angiogenesis,0.09666666666666666,0.887346071600914,0.08183228748540083,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,stain_shift,immune_activation,0.005555555555555556,0.9529971082342995,0.06423818385021554,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,stain_shift,proliferation,0.07222222222222222,0.9529971082342995,0.06423818385021554,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,stain_shift,hypoxia,0.15555555555555556,0.9529971082342995,0.06423818385021554,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,stain_shift,stromal_ecm,0.01888888888888889,0.9529971082342995,0.06423818385021554,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
conch,IDC,stain_shift,angiogenesis,0.06333333333333334,0.9529971082342995,0.06423818385021554,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.5984852161288496,0.6466948970469483,0.3841276432201927,0.43709006265622996
