perturbation,program,mean_embedding_l2_drift,mean_embedding_cosine_sim,mean_expr_drift,embedding_to_expr_drift_corr,gpfr_baseline,gpfr_after_linear_correction,gpfr_relative_reduction,n_train,n_heldout,ridge_alpha_selected,heldout_mean_pearson_r
gamma,stromal_ecm,5.441236972808838,0.9695574045181274,175.2704704846888,0.6420737652348054,0.015555555555555555,0.0077777777777777776,0.5,2100,900,100.0,0.5585048471550154
gamma,angiogenesis,5.441236972808838,0.9695574045181274,175.2704704846888,0.6420737652348054,0.08777777777777777,0.027777777777777776,0.6835443037974683,2100,900,100.0,0.5585048471550154
stain_shift,immune_activation,8.962133407592773,0.9166817665100098,285.11636776035397,0.5748181019721544,0.008888888888888889,0.008888888888888889,0.0,2100,900,100.0,0.5585048471550154
stain_shift,proliferation,8.962133407592773,0.9166817665100098,285.11636776035397,0.5748181019721544,0.09777777777777778,0.05555555555555555,0.4318181818181819,2100,900,100.0,0.5585048471550154
stain_shift,hypoxia,8.962133407592773,0.9166817665100098,285.11636776035397,0.5748181019721544,0.13444444444444445,0.12222222222222222,0.09090909090909094,2100,900,100.0,0.5585048471550154
stain_shift,stromal_ecm,8.962133407592773,0.9166817665100098,285.11636776035397,0.5748181019721544,0.035555555555555556,0.043333333333333335,-0.21875,2100,900,100.0,0.5585048471550154
stain_shift,angiogenesis,8.962133407592773,0.9166817665100098,285.11636776035397,0.5748181019721544,0.06,0.05555555555555555,0.07407407407407407,2100,900,100.0,0.5585048471550154
blur,immune_activation,10.429682731628418,0.8899983763694763,310.68121124062816,0.5663066055501023,0.013333333333333334,0.012222222222222223,0.08333333333333337,2100,900,100.0,0.5585048471550154
blur,proliferation,10.429682731628418,0.8899983763694763,310.68121124062816,0.5663066055501023,0.09111111111111111,0.07777777777777778,0.14634146341463417,2100,900,100.0,0.5585048471550154
blur,hypoxia,10.429682731628418,0.8899983763694763,310.68121124062816,0.5663066055501023,0.11333333333333333,0.12111111111111111,-0.06862745098039214,2100,900,100.0,0.5585048471550154
blur,stromal_ecm,10.429682731628418,0.8899983763694763,310.68121124062816,0.5663066055501023,0.03111111111111111,0.04,-0.2857142857142858,2100,900,100.0,0.5585048471550154
blur,angiogenesis,10.429682731628418,0.8899983763694763,310.68121124062816,0.5663066055501023,0.11777777777777777,0.06222222222222222,0.4716981132075472,2100,900,100.0,0.5585048471550154
jpeg,immune_activation,11.23486328125,0.8725337982177734,303.7476897766297,0.6169154204196171,0.01,0.023333333333333334,-1.3333333333333335,2100,900,100.0,0.5585048471550154
jpeg,proliferation,11.23486328125,0.8725337982177734,303.7476897766297,0.6169154204196171,0.07222222222222222,0.08,-0.10769230769230775,2100,900,100.0,0.5585048471550154
jpeg,hypoxia,11.23486328125,0.8725337982177734,303.7476897766297,0.6169154204196171,0.18666666666666668,0.15555555555555556,0.16666666666666674,2100,900,100.0,0.5585048471550154
jpeg,stromal_ecm,11.23486328125,0.8725337982177734,303.7476897766297,0.6169154204196171,0.12,0.052222222222222225,0.5648148148148148,2100,900,100.0,0.5585048471550154
jpeg,angiogenesis,11.23486328125,0.8725337982177734,303.7476897766297,0.6169154204196171,0.07333333333333333,0.07111111111111111,0.030303030303030276,2100,900,100.0,0.5585048471550154
scanner_color,immune_activation,11.437493324279785,0.8667985200881958,380.7770352152632,0.605996373027913,0.19111111111111112,0.06666666666666667,0.6511627906976745,2100,900,100.0,0.5585048471550154
scanner_color,proliferation,11.437493324279785,0.8667985200881958,380.7770352152632,0.605996373027913,0.0811111111111111,0.07555555555555556,0.06849315068493145,2100,900,100.0,0.5585048471550154
scanner_color,hypoxia,11.437493324279785,0.8667985200881958,380.7770352152632,0.605996373027913,0.3988888888888889,0.20555555555555555,0.48467966573816157,2100,900,100.0,0.5585048471550154
scanner_color,stromal_ecm,11.437493324279785,0.8667985200881958,380.7770352152632,0.605996373027913,0.08222222222222222,0.07777777777777778,0.05405405405405406,2100,900,100.0,0.5585048471550154
scanner_color,angiogenesis,11.437493324279785,0.8667985200881958,380.7770352152632,0.605996373027913,0.1322222222222222,0.09555555555555556,0.2773109243697478,2100,900,100.0,0.5585048471550154
