encoder,organ,perturbation,program,gpfr,mean_ssim,mean_lpips,n_samples_pooled,n_train,n_heldout,ridge_alpha_selected,ridge_alpha_min,ridge_alpha_max,heldout_mean_pearson_r,heldout_mean_pearson_r_hallmark_genes,heldout_mean_r2,heldout_mean_r2_hallmark_genes
uni,IDC,brightness,immune_activation,0.0022222222222222222,0.8859785628981061,0.07524033839607404,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,brightness,proliferation,0.01,0.8859785628981061,0.07524033839607404,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,brightness,hypoxia,0.044444444444444446,0.8859785628981061,0.07524033839607404,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,brightness,stromal_ecm,0.012222222222222223,0.8859785628981061,0.07524033839607404,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,brightness,angiogenesis,0.06666666666666667,0.8859785628981061,0.07524033839607404,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,contrast,immune_activation,0.04888888888888889,0.885317295855946,0.06822605372716983,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,contrast,proliferation,0.005555555555555556,0.885317295855946,0.06822605372716983,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,contrast,hypoxia,0.058888888888888886,0.885317295855946,0.06822605372716983,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,contrast,stromal_ecm,0.03666666666666667,0.885317295855946,0.06822605372716983,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,contrast,angiogenesis,0.10111111111111111,0.885317295855946,0.06822605372716983,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,gamma,immune_activation,0.056666666666666664,0.8882322385576036,0.08240020438200897,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,gamma,proliferation,0.005555555555555556,0.8882322385576036,0.08240020438200897,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,gamma,hypoxia,0.08333333333333333,0.8882322385576036,0.08240020438200897,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,gamma,stromal_ecm,0.024444444444444446,0.8882322385576036,0.08240020438200897,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,gamma,angiogenesis,0.05333333333333334,0.8882322385576036,0.08240020438200897,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,stain_shift,immune_activation,0.01888888888888889,0.9536825832393434,0.06337012457764811,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,stain_shift,proliferation,0.08888888888888889,0.9536825832393434,0.06337012457764811,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,stain_shift,hypoxia,0.07333333333333333,0.9536825832393434,0.06337012457764811,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,stain_shift,stromal_ecm,0.07888888888888888,0.9536825832393434,0.06337012457764811,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,stain_shift,angiogenesis,0.057777777777777775,0.9536825832393434,0.06337012457764811,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,blur,immune_activation,0.0,0.8889551065365473,0.17906580489025348,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,blur,proliferation,0.005555555555555556,0.8889551065365473,0.17906580489025348,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,blur,hypoxia,0.0044444444444444444,0.8889551065365473,0.17906580489025348,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,blur,stromal_ecm,0.0022222222222222222,0.8889551065365473,0.17906580489025348,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,blur,angiogenesis,0.01,0.8889551065365473,0.17906580489025348,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,jpeg,immune_activation,0.24555555555555555,0.8928602380885018,0.03338790412578318,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,jpeg,proliferation,0.15444444444444444,0.8928602380885018,0.03338790412578318,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,jpeg,hypoxia,0.16555555555555557,0.8928602380885018,0.03338790412578318,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,jpeg,stromal_ecm,0.05555555555555555,0.8928602380885018,0.03338790412578318,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,jpeg,angiogenesis,0.07222222222222222,0.8928602380885018,0.03338790412578318,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,scanner_color,immune_activation,0.06333333333333334,0.889410981271002,0.1443589029999243,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,scanner_color,proliferation,0.02666666666666667,0.889410981271002,0.1443589029999243,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,scanner_color,hypoxia,0.07777777777777778,0.889410981271002,0.1443589029999243,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,scanner_color,stromal_ecm,0.058888888888888886,0.889410981271002,0.1443589029999243,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
uni,IDC,scanner_color,angiogenesis,0.10111111111111111,0.889410981271002,0.1443589029999243,4,2100,900,3162.2776601683795,316.22776601683796,10000.0,0.6127745927729986,0.6574860855935375,0.4060381782780016,0.45933598615506654
