encoder,organ,perturbation,program,gpfr_z0.5,gpfr_z0.75,gpfr_z1.0,gpfr_z1.5,gpfr_z2.0
uni,IDC,blur,angiogenesis,0.08555555555555555,0.034444444444444444,0.011111111111111112,0.0011111111111111111,0.0
uni,IDC,blur,hypoxia,0.12444444444444444,0.042222222222222223,0.014444444444444444,0.0022222222222222222,0.0
uni,IDC,blur,immune_activation,0.006666666666666667,0.0,0.0,0.0,0.0
uni,IDC,blur,proliferation,0.11,0.04666666666666667,0.02,0.0011111111111111111,0.0
uni,IDC,blur,stromal_ecm,0.02666666666666667,0.0044444444444444444,0.0011111111111111111,0.0,0.0
uni,IDC,brightness,angiogenesis,0.17,0.08777777777777777,0.051111111111111114,0.014444444444444444,0.0011111111111111111
uni,IDC,brightness,hypoxia,0.1711111111111111,0.07444444444444444,0.035555555555555556,0.0044444444444444444,0.0
uni,IDC,brightness,immune_activation,0.14222222222222222,0.03222222222222222,0.0044444444444444444,0.0,0.0
uni,IDC,brightness,proliferation,0.12444444444444444,0.04888888888888889,0.017777777777777778,0.0011111111111111111,0.0
uni,IDC,brightness,stromal_ecm,0.10555555555555556,0.03222222222222222,0.013333333333333334,0.0011111111111111111,0.0011111111111111111
uni,IDC,contrast,angiogenesis,0.23555555555555555,0.11555555555555555,0.07888888888888888,0.022222222222222223,0.005555555555555556
uni,IDC,contrast,hypoxia,0.16,0.06111111111111111,0.03222222222222222,0.0033333333333333335,0.0
uni,IDC,contrast,immune_activation,0.22555555555555556,0.0811111111111111,0.024444444444444446,0.0,0.0
uni,IDC,contrast,proliferation,0.09555555555555556,0.03333333333333333,0.011111111111111112,0.0011111111111111111,0.0
uni,IDC,contrast,stromal_ecm,0.10888888888888888,0.057777777777777775,0.024444444444444446,0.005555555555555556,0.0011111111111111111
uni,IDC,gamma,angiogenesis,0.28,0.13666666666666666,0.07222222222222222,0.022222222222222223,0.006666666666666667
uni,IDC,gamma,hypoxia,0.27555555555555555,0.15222222222222223,0.07888888888888888,0.03,0.0044444444444444444
uni,IDC,gamma,immune_activation,0.25,0.11,0.034444444444444444,0.0,0.0
uni,IDC,gamma,proliferation,0.12555555555555556,0.04888888888888889,0.013333333333333334,0.0022222222222222222,0.0
uni,IDC,gamma,stromal_ecm,0.1622222222222222,0.07333333333333333,0.028888888888888888,0.005555555555555556,0.0
uni,IDC,jpeg,angiogenesis,0.29333333333333333,0.14333333333333334,0.07555555555555556,0.01888888888888889,0.006666666666666667
uni,IDC,jpeg,hypoxia,0.4266666666666667,0.25666666666666665,0.1511111111111111,0.051111111111111114,0.017777777777777778
uni,IDC,jpeg,immune_activation,0.5633333333333334,0.4066666666666667,0.26222222222222225,0.051111111111111114,0.0011111111111111111
uni,IDC,jpeg,proliferation,0.3433333333333333,0.21333333333333335,0.12777777777777777,0.023333333333333334,0.0022222222222222222
uni,IDC,jpeg,stromal_ecm,0.21333333333333335,0.09888888888888889,0.03777777777777778,0.008888888888888889,0.0011111111111111111
uni,IDC,scanner_color,angiogenesis,0.2311111111111111,0.11555555555555555,0.05333333333333334,0.01,0.0022222222222222222
uni,IDC,scanner_color,hypoxia,0.4288888888888889,0.2866666666666667,0.19777777777777777,0.051111111111111114,0.01
uni,IDC,scanner_color,immune_activation,0.3933333333333333,0.2722222222222222,0.1688888888888889,0.02,0.0
uni,IDC,scanner_color,proliferation,0.2577777777777778,0.11666666666666667,0.05555555555555555,0.0044444444444444444,0.0
uni,IDC,scanner_color,stromal_ecm,0.19777777777777777,0.09111111111111111,0.04888888888888889,0.005555555555555556,0.0
uni,IDC,stain_shift,angiogenesis,0.2633333333333333,0.12555555555555556,0.06555555555555556,0.008888888888888889,0.0022222222222222222
uni,IDC,stain_shift,hypoxia,0.3611111111111111,0.18444444444444444,0.09,0.015555555555555555,0.0011111111111111111
uni,IDC,stain_shift,immune_activation,0.08333333333333333,0.017777777777777778,0.005555555555555556,0.0011111111111111111,0.0
uni,IDC,stain_shift,proliferation,0.39444444444444443,0.2111111111111111,0.10555555555555556,0.03222222222222222,0.0077777777777777776
uni,IDC,stain_shift,stromal_ecm,0.32666666666666666,0.14333333333333334,0.04555555555555556,0.0033333333333333335,0.0
