encoder,held_out_slide,n_train,n_heldout,pearson_r,pearson_r_hallmark,r2,r2_median,r2_hallmark,r2_hallmark_median
uni,NCBI783,2250,750,0.3365970487061894,0.4266255414639311,-0.8460030582618494,5.1038841978823246e-05,-0.31973426060953164,0.0742243063661936
uni,NCBI785,2250,750,0.41567236456446616,0.5182368905607005,-24.509658885222272,-0.0938591041719743,-0.3758592231934083,0.10827382037202671
uni,TENX95,2250,750,0.41912678314195617,0.5370802077478856,-1.0121000420807629,-0.0740418110574399,-0.42081830070901405,0.07004592284317401
uni,TENX99,2250,750,0.2737433662071375,0.35381254847073657,-8.435259788087901,-0.06064045435599685,-0.7451700186268603,-0.028762089872404695
