encoder,organ,program,pearson_r,r2
uni,IDC,immune_activation,0.8180408448172167,0.5420027808408241
uni,IDC,proliferation,0.6866787071098466,0.38706687217984115
uni,IDC,hypoxia,0.53024704801706,0.0913935295615329
uni,IDC,stromal_ecm,0.7316262810925998,0.41045977720533333
uni,IDC,angiogenesis,0.6828611810879961,0.3219013064313536
