encoder,organ,perturbation,program,gpfr,mean_ssim,mean_lpips,n_samples_pooled,n_train,n_heldout,ridge_alpha_selected,ridge_alpha_min,ridge_alpha_max,heldout_mean_pearson_r,heldout_mean_pearson_r_hallmark_genes,heldout_mean_r2,heldout_mean_r2_hallmark_genes
conch,COAD,brightness,immune_activation,0.09888888888888889,0.8725295281410217,0.10487570277622177,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
conch,COAD,brightness,proliferation,0.11555555555555555,0.8725295281410217,0.10487570277622177,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
conch,COAD,brightness,hypoxia,0.14888888888888888,0.8725295281410217,0.10487570277622177,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
conch,COAD,brightness,stromal_ecm,0.09444444444444444,0.8725295281410217,0.10487570277622177,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
conch,COAD,brightness,angiogenesis,0.10444444444444445,0.8725295281410217,0.10487570277622177,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
conch,COAD,contrast,immune_activation,0.058888888888888886,0.8960660402642356,0.06675784506317642,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
conch,COAD,contrast,proliferation,0.051111111111111114,0.8960660402642356,0.06675784506317642,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
conch,COAD,contrast,hypoxia,0.11888888888888889,0.8960660402642356,0.06675784506317642,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
conch,COAD,contrast,stromal_ecm,0.04555555555555556,0.8960660402642356,0.06675784506317642,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
conch,COAD,contrast,angiogenesis,0.057777777777777775,0.8960660402642356,0.06675784506317642,4,2100,900,31.622776601683793,3.1622776601683795,10000.0,0.6233838111665461,0.7072805023334167,0.4286932101107377,0.5359265486522137
