slide,n_heldout,any_overlap_frac,rook_overlap_frac
NCBI783,239,0.7740585774058577,0.5313807531380753
NCBI785,222,0.6576576576576577,0.45045045045045046
TENX95,212,0.37735849056603776,0.21226415094339623
TENX99,227,0.13656387665198239,0.07048458149779736
ALL,900,0.4911111111111111,0.32
