encoder,held_out_slide,n_train,n_heldout,pearson_r,pearson_r_hallmark,r2,r2_median,r2_hallmark,r2_hallmark_median
conch,NCBI783,2250,750,0.3018532398227341,0.3888571176304468,-1.1421933148786596,-0.03145611579123697,-0.44914198340364275,-0.0017079569588863697
conch,NCBI785,2250,750,0.3872685967480785,0.48371539045621376,-68.87926435629703,-0.24070952069477092,-0.4222070442122911,-0.00783955829437688
conch,TENX95,2250,750,0.4045017793633382,0.5117368540142814,-1.0475859023237768,-0.15228357084996247,-0.4186844355300219,0.017764538940917507
conch,TENX99,2250,750,0.2545453809001196,0.329067417787699,-8.252701095320433,-0.1260375807854478,-1.2933366163577247,-0.10651280824038845
